NM_REGIAO,CD_UF,NM_UF,SIGLA,CD_MUN,NM_MUN,AREA_TOT,AREA_INT,PERC_INT,LAT_SEDE,LNG_SEDE,SEDE_AL,,,,
Norte,11,Rondônia,RO,1101559,Teixeirópolis,"459,98","459,98",100,"-10,93","-62,26",sim,,,,
Norte,11,Rondônia,RO,1101609,Theobroma,"2.197,41","2.197,41",100,"-10,25","-62,35",sim,,,,
Norte,11,Rondônia,RO,1101708,Urupá,"831,86","831,86",100,"-11,12","-62,38",sim,,,,
Norte,11,Rondônia,RO,1101757,Vale do Anari,"3.135,11","3.135,11",100,"-9,86","-62,18",sim,,,,
Norte,11,Rondônia,RO,1101807,Vale do Paraíso,"965,68","965,68",100,"-10,43","-62,13",sim,,,,
Norte,12,Acre,AC,1200013,Acrelândia,"1.811,61","1.811,61",100,"-10,08","-67,05",sim,,,,
Norte,12,Acre,AC,1200054,Assis Brasil,"4.979,07","4.979,07",100,"-10,94","-69,57",sim,,,,
Norte,12,Acre,AC,1200104,Brasiléia,"3.928,17","3.928,17",100,"-11,02","-68,75",sim,,,,
Norte,12,Acre,AC,1200138,Bujari,"3.034,87","3.034,87",100,"-9,83","-67,95",sim,,,,
Norte,12,Acre,AC,1200179,Capixaba,"1.705,82","1.705,82",100,"-10,57","-67,68",sim,,,,
Norte,12,Acre,AC,1200203,Cruzeiro do Sul,"8.783,47","8.783,47",100,"-7,63","-72,67",sim,,,,
Norte,12,Acre,AC,1200252,Epitaciolândia,"1.652,67","1.652,67",100,"-11,03","-68,74",sim,,,,
Norte,12,Acre,AC,1200302,Feijó,"27.976,87","27.976,87",100,"-8,17","-70,35",sim,,,,
Norte,12,Acre,AC,1200328,Jordão,"5.357,23","5.357,23",100,"-9,19","-71,95",sim,,,,
Norte,12,Acre,AC,1200336,Mâncio Lima,"5.451,62","5.451,62",100,"-7,61","-72,91",sim,,,,
Norte,12,Acre,AC,1200344,Manoel Urbano,"10.630,60","10.630,60",100,"-8,84","-69,26",sim,,,,
Norte,12,Acre,AC,1200351,Marechal Thaumaturgo,"8.190,95","8.190,95",100,"-8,95","-72,79",sim,,,,
Norte,12,Acre,AC,1200385,Plácido de Castro,"1.952,56","1.952,56",100,"-10,34","-67,18",sim,,,,
Norte,12,Acre,AC,1200393,Porto Walter,"6.446,39","6.446,38",100,"-8,27","-72,74",sim,,,,
Norte,12,Acre,AC,1200401,Rio Branco,"8.835,15","8.835,15",100,"-9,97","-67,81",sim,,,,
Norte,12,Acre,AC,1200427,Rodrigues Alves,"3.076,34","3.076,34",100,"-7,74","-72,65",sim,,,,
Norte,12,Acre,AC,1200435,Santa Rosa do Purus,"6.155,86","6.155,86",100,"-9,44","-70,49",sim,,,,
Norte,12,Acre,AC,1200450,Senador Guiomard,"2.320,17","2.320,17",100,"-10,15","-67,74",sim,,,,
Norte,12,Acre,AC,1200500,Sena Madureira,"23.759,51","23.759,51",100,"-9,06","-68,66",sim,,,,
Norte,12,Acre,AC,1200609,Tarauacá,"20.169,49","20.169,48",100,"-8,16","-70,76",sim,,,,
Norte,12,Acre,AC,1200708,Xapuri,"5.350,59","5.350,59",100,"-10,65","-68,50",sim,,,,
Norte,12,Acre,AC,1200807,Porto Acre,"2.604,42","2.604,42",100,"-9,59","-67,53",sim,,,,
Norte,13,Amazonas,AM,1300029,Alvarães,"5.923,46","5.923,46",100,"-3,21","-64,80",sim,,,,
Norte,13,Amazonas,AM,1300060,Amaturá,"4.754,11","4.754,11",100,"-3,36","-68,20",sim,,,,
Norte,13,Amazonas,AM,1300086,Anamã,"2.446,12","2.446,12",100,"-3,58","-61,41",sim,,,,
Norte,13,Amazonas,AM,1300102,Anori,"6.036,38","6.036,38",100,"-3,75","-61,66",sim,,,,
Norte,13,Amazonas,AM,1300144,Apuí,"54.240,55","54.240,55",100,"-7,20","-59,89",sim,,,,
Norte,13,Amazonas,AM,1300201,Atalaia do Norte,"76.435,09","76.435,09",100,"-4,37","-70,19",sim,,,,
Norte,13,Amazonas,AM,1300300,Autazes,"7.652,85","7.652,85",100,"-3,58","-59,13",sim,,,,
Norte,13,Amazonas,AM,1300409,Barcelos,"122.461,09","122.461,09",100,"-0,97","-62,93",sim,,,,
Norte,13,Amazonas,AM,1300508,Barreirinha,"5.751,77","5.751,76",100,"-2,79","-57,07",sim,,,,
Norte,13,Amazonas,AM,1300607,Benjamin Constant,"8.695,39","8.695,39",100,"-4,37","-70,03",sim,,,,
Norte,13,Amazonas,AM,1300631,Beruri,"17.472,78","17.472,78",100,"-3,90","-61,37",sim,,,,
Norte,13,Amazonas,AM,1300680,Boa Vista do Ramos,"2.589,41","2.589,41",100,"-2,97","-57,59",sim,,,,
Norte,13,Amazonas,AM,1300706,Boca do Acre,"21.938,58","21.938,58",100,"-8,75","-67,40",sim,,,,
Norte,13,Amazonas,AM,1300805,Borba,"44.236,18","44.236,18",100,"-4,39","-59,59",sim,,,,
Norte,13,Amazonas,AM,1300839,Caapiranga,"9.455,54","9.455,54",100,"-3,33","-61,21",sim,,,,
Norte,13,Amazonas,AM,1300904,Canutama,"33.642,73","33.642,73",100,"-6,54","-64,39",sim,,,,
Norte,13,Amazonas,AM,1301001,Carauari,"25.778,66","25.778,66",100,"-4,88","-66,90",sim,,,,
Norte,13,Amazonas,AM,1301100,Careiro,"6.096,21","6.096,21",100,"-3,82","-60,36",sim,,,,
Norte,13,Amazonas,AM,1301159,Careiro da Várzea,"2.627,47","2.627,47",100,"-3,20","-59,83",sim,,,,
Norte,13,Amazonas,AM,1301209,Coari,"57.970,77","57.970,77",100,"-4,09","-63,14",sim,,,,
Norte,13,Amazonas,AM,1301308,Codajás,"18.700,71","18.700,71",100,"-3,84","-62,06",sim,,,,
